OID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Length,Shape_Area
-1,5,740,מודיעין-מכבים-רעות*,מגורים,12175,996841,מגורים,1200,1,0,0,9,1,1,8,0,9,8,0,0,0,8,8,5.015846386872194,202407,4992.701059021928813,996840.735211973777041
-1,0,2096,בועיינה-נוג'ידאת,מגורים,9645,7083479,מגורים,0,1,,,,,,,,,,,,,,,0.000000000000000,202407,16684.034064088420564,7083478.733970982953906
-1,5,1382,בית שמש,מגורים,3255,465285,מגורים,2610,1,0,0,6,3,3,3,0,6,7,1,0,0,2,5,10.746102193848554,202407,3444.625345319504504,465284.985179293726105
-1,30,333,חולון,מגורים,4537,311448,מגורים,6600,1,1,0,39,7,10,26,4,40,53,8,0,0,21,36,96.324392410215893,202407,2198.841328840519964,311447.591304176079575
-1,4,2008,אדמית עראמשה*,מגורים,1870,16950417,מגורים,0,1,1,1,12,0,1,7,6,14,9,0,0,0,4,7,0.235982395860279,202407,24834.995350758679706,16950416.938593693077564
-1,6,975,כפר סבא,מגורים,1688,227722,מגורים,6900,1,0,0,10,3,6,2,1,10,11,0,0,0,9,10,26.347969397475207,202407,2715.726250436143346,227721.533659248496406
-1,2,1626,בני נעים,לא ידוע,0,18402190,עתידי/לא ידוע,0,5,1,0,14,0,6,9,0,15,8,0,1,0,4,8,0.108682713760863,202407,19357.898448661329894,18402190.475300852209330
-1,11,2331,גן נר,מגורים,2705,10270184,מגורים,0,1,0,4,36,0,5,28,5,40,24,0,0,0,21,21,1.071061581095800,202407,17473.998040016525920,10270184.454516546800733
-1,6,577,רחובות,מגורים,3528,351860,מגורים,8400,1,0,3,4,1,2,4,1,7,11,1,0,1,6,8,17.052244126204666,202407,2709.054082272279629,351859.846457372128498
-1,3,1219,ירושלים,מגורים,2624,583025,מגורים,3000,1,0,0,3,2,1,2,0,3,4,0,0,0,2,2,5.145580097625301,202407,5245.959914418416702,583024.643107685376890
-1,28,2591,עמיעוז גבולות ניר יצחק צאלים מבטחים ישע אוהד תלמי אליהו שדה ניצן כרם שלום צוחרשדי אברהם יתד פרי גן יבול תלמי יוסף סופהחולית דקל אבשלום בני נצרים שלומית נווה,מגורים,9148,219362688,מגורים,0,1,4,20,35,0,15,37,5,59,54,3,8,2,24,46,0.127642491363738,202407,77643.385068778632558,219362687.932888150215149
-1,3,170,הרצלייה,נמל,549,1099391,תעשיה/מסחר/מתקנים,6400,4,0,0,4,0,0,3,0,4,6,0,0,0,3,4,2.728782566234202,202407,4237.458265960189237,1099391.368561873212457
-1,0,1861,פוריידיס,מגורים,6363,718305,מגורים,537,1,,,,,,,,,,,,,,,0.000000000000000,202407,4708.375489195515001,718305.017643556231633
-1,18,812,יבנה,מגורים,4445,866412,מגורים,2660,1,0,6,20,6,6,16,4,26,29,2,1,1,13,21,20.775338409402014,202407,4423.404222306077827,866411.879570345976390
-1,5,2424,באר שבע,מגורים,1905,457270,מגורים,9000,1,0,1,8,4,3,5,1,9,8,1,0,0,5,7,10.934466771556771,202407,3207.193626130690063,457269.668879165255930
-1,1,1454,ביתר עילית,מגורים,4391,871797,מגורים,0,1,0,0,2,0,1,1,0,2,2,0,0,0,1,2,1.147056336867561,202407,4300.229529974974866,871796.761727370554581
-1,11,405,גבעת שמואל,מגורים,4271,620333,מגורים,681,1,0,4,15,1,4,14,1,19,22,5,1,0,13,20,17.732411791691437,202407,3809.832140251308374,620332.988497034297325
-1,3,1056,ירושלים,מגורים,2285,409507,מגורים,3000,1,0,0,4,1,1,3,0,4,5,0,0,0,3,3,7.325876312615101,202407,3165.687996471688166,409507.323353797779419
-1,51,23,תל אביב -יפו,מתקן בטחון,0,527689,תעשיה/מסחר/מתקנים,5000,4,1,13,53,4,6,54,5,67,97,18,1,8,40,81,96.647755982460467,202407,3511.673752501683339,527689.437603242695332
-1,5,1698,חיפה,מגורים,2428,241644,מגורים,4000,1,0,0,5,4,0,2,3,5,6,1,0,0,5,6,20.691594278603866,202407,2262.578247575337627,241644.018951707752421
-1,8,649,כפר סבא,תעשיה,99,728907,תעשיה/מסחר/מתקנים,6900,4,0,0,16,0,1,11,4,16,17,0,0,0,10,12,10.975339544981090,202407,3901.498661616375557,728906.834017569781281
-1,52,2277,פארק תעשיה קיסריה,תעשיה,0,14203878,תעשיה/מסחר/מתקנים,0,4,2,11,97,3,17,89,4,110,106,3,2,2,60,79,3.660971924885005,202407,20736.853826476650283,14203878.387194506824017
-1,1,1291,מעלה אדומים,מגורים,2026,328428,מגורים,0,1,0,0,1,0,1,0,0,1,2,0,0,0,2,2,3.044805428713237,202407,2576.308642893608976,328428.211067204130813
-1,2,498,נס ציונה,תעשיה,8,440254,תעשיה/מסחר/מתקנים,7200,4,0,1,3,0,0,2,1,4,4,0,0,1,3,4,4.542835493837203,202407,3056.725517605314053,440253.670359226933215
-1,14,1933,נצרת עילית,מגורים,4656,1409096,מגורים,1061,1,0,0,24,8,4,17,3,24,21,0,0,0,13,19,9.935445847964720,202407,6865.704700487820446,1409096.301689159125090
-1,97,116,תל אביב -יפו,מגורים,5043,448205,מגורים,5000,1,1,21,86,40,13,56,24,108,158,18,1,19,47,118,216.418929194573735,202407,2800.179020017017137,448204.786711568653118
